metric,model,mean,ci_lower,ci_upper
CE Loss,Medium original,2.711123786900787,2.7032725813190344,2.7189512159957685
CE Loss,Medium FT,2.742433383554238,2.7341285007707543,2.7503942573042783
CE Loss,Medium LN-free,2.8031809014699376,2.79442397210749,2.8110479849906156
Entropy,Medium original,2.864033100317862,2.858099040301237,2.869595110811123
Entropy,Medium FT,2.5860628421764322,2.5805685323609615,2.5915522999464375
Entropy,Medium LN-free,2.53159843439351,2.525992835593608,2.5371187393227874
JSD,Medium original vs Medium FT,0.02337384497253495,0.023245787466838728,0.02351193230685938
JSD,Medium original vs Medium LN-free,0.034719963987298,0.03453378394950928,0.03489939815453924
JSD,Medium FT vs Medium LN-free,0.017244497320092488,0.017143027136132447,0.017343303048700433
ECE,Medium original,0.01944271929758381,0.018465946832975273,0.02050508648144025
ECE,Medium FT,0.02228035158893083,0.021191730947371073,0.0233005541163257
ECE,Medium LN-free,0.03398868095240084,0.03288263024878598,0.03500763240463707
